i;Ii;Ji;ni
1;0;0;0.10898952318288E4
2;0;1;0.84951654495535E3
3;0;2;-0.10781748091826E3
4;0;3;0.33153654801263E2
5;0;7;-0.74232016790248E1
6;0;20;0.11765048724356E2
7;1;0;0.18445749355790E1
8;1;1;-0.41792700549624E1
9;1;2;0.62478196935812E1
10;1;3;-0.17344563108114E2
11;1;7;-0.20058176862096E3
12;1;9;0.27196065473796E3
13;1;11;-0.45511318285818E3
14;1;18;0.30919688604755E4
15;1;44;0.25226640357872E6
16;2;0;-0.61707422868339E-2
17;2;2;-0.31078046629583
18;2;7;0.11670873077107E2
19;2;36;0.12812798404046E9
20;2;38;-0.98554909623276E9
21;2;40;0.28224546973002E10
22;2;42;-0.35948971410703E10
23;2;44;0.17227349913197E10
24;3;24;-0.13551334240775E5
25;3;44;0.12848734664650E8
26;4;12;0.13865724283226E1
27;4;32;0.23598832556514E6
28;4;44;-0.13105236545054E8
29;5;32;0.73999835474766E4
30;5;36;-0.55196697030060E6
31;5;42;0.37154085996233E7
32;6;34;0.19127729239660E5
33;6;44;-0.41535164835634E6
34;7;28;-0.62459855192507E2
